0001-1541	aiche j
0932-8920	z zellforsch mikrosk anat b chromosoma
0933-2790	j cryptology
0933-3630	soil technol
0933-3657	artif intell med
0933-5137	mater wissen werkst tech
0933-5854	biol met
0933-7407	mycoses
0933-7954	soc psychiatry psychiatr epidemiol
0934-0866	part part syst charact
0934-0874	transpl int
0934-0882	sex plant reprod
0934-4373	struct optim
0934-5043	form asp comput
0934-8840	zent bl bakteriol
0934-8859	zent bl hyg umweltmed
0934-9723	eur j clin microbiol infect dis
0934-9839	res eng des
0934-9847	res nondestruct eval
0935-1175	contin mech thermodyn
0935-4956	astron astrophys rev
0935-4964	theor comput fluid dyn
0935-6304	hrc j high resolut chromatogr
0935-9648	adv mater
0936-3076	j neural transm parkinson s dis dement sect
0936-5907	cogn linguist
0936-6555	clin oncol
0936-6768	reprod domest anim
0936-8051	arch orthop trauma surg
0937-0633	fresenius j anal chem
0937-1478	lebensm chem
0937-3462	int urogynecol j
0937-4477	eur arch oto rhino laryngol
0937-9347	appl magn reson
0937-941X	osteoporos int
0937-9827	int j leg med
0938-7714	comp haematol int
0938-7994	eur radiol
0938-8974	j nonlinear sci
0938-8990	mamm genome
0939-1533	arch appl mech
0939-4451	amino acids
0939-5555	ann hematol
0939-6314	veg hist archaeobot
0939-6411	eur j pharm biopharm
0939-7922	z phys a hadrons nuclei
0939-8600	j exp anim sci
0940-1334	eur arch psychiatry clin neurosci
0940-2993	exp toxicol pathol
0940-5429	acta diabetol
0940-6360	mycorrhiza
0940-6719	eur spine j
0940-9602	ann anat
0941-0198	clin invest
0941-0643	neural comput appl
0941-1216	j prakt chem chem ztg
0941-1291	surg today
0941-4355	support care cancer
0942-4962	multimedia syst
0942-5616	math logic q
0942-8925	abdom imaging
0943-0105	environ geol
0944-1174	j gastroenterol
0944-2006	zoology
0944-2669	calc var partial differ equ
0944-5013	microbiol res
0944-7113	phytomedicine
0945-053X	matrix biol
0945-6317	virchows arch
0946-2171	appl phys b lasers opt
0946-2716	j mol med
0946-672X	j trace elem med biol
0946-7076	microsyst technol
0947-076X	vak forsch prax
0947-3440	liebigs ann
0947-3580	eur j control
0947-3602	requir eng
0947-5117	mater corros
0947-5745	j zoolog syst evol res
0947-6539	chemistry
0947-7047	ionics
0947-7411	heat mass transf
0947-8396	appl phys a mater sci process
0948-1907	chem vap depos
0948-6143	histochem cell biol
0948-7921	electr eng
0949-1775	accredit qual assur
0949-2658	j orthop sci
0949-5770	microform imaging rev
0949-7714	j geod
0949-944X	dev genes evol
0949-9571	z antikes christ
0950-0618	constr build mater
0950-091X	basin res
0950-3293	food qual prefer
0950-3471	hist res
0950-3501	baillère s clin anaesthesiol
0950-351X	baillière s clin endrocrinol metab
0950-3528	baillière s clin gastroenterol
0950-3536	baillière s clin haematol
0950-3552	baillière s clin obstet gynaecol
0950-3579	baillière s clin rheumatol
0950-4214	gas sep purif
0950-4230	j loss prev process ind
0950-5423	int j food sci technol
0950-5601	br j anim behav
0950-5849	inf softw technol
0950-7051	knowl based syst
0951-0605	child soc
0951-208X	biotechnol tech
0951-418X	ptr phytother res
0951-4198	rapid commun mass spectrom
0951-5240	comput integr manuf syst
0951-5666	ai soc
0951-631X	soc hist med
0951-6433	biofactors
0951-8312	ocean shorel manag
0951-8320	reliab eng syst saf
0951-8339	mar struct
0952-0481	br j addict
0952-0600	pulm pharmacol
0952-1976	eng appl artif intell
0952-3278	prostaglandins leukot essent fat acids
0952-3480	nmr biomed
0952-3499	jmr j mol recognit
0952-3871	j hum nutr diet
0952-4649	j des hist
0952-7915	curr opin immunol
0952-8180	j clin anesth
0952-8369	j zool
0953-5233	gend hist
0953-6205	eur j intern med
0953-7112	curr anaesth crit care
0953-7562	mycol res
0953-816X	eur j neurosci
0953-8178	int immunol
0953-8194	j neuroendocrinol
0954-0075	lubr sci
0954-1810	artif intell eng
0954-4879	terra nova
0954-6111	respir med
0954-6650	j hist collect
0954-7894	clin exp allergy
0955-0674	curr opin cell biol
0955-2219	j eur ceram soc
0955-2235	prog growth factor res
0955-2863	j nutr biochem
0955-3886	transfus sci
0955-470X	transplant rev
0955-5986	flow meas instrum
0955-7997	eng anal bound elem
0956-0521	comput syst eng
0956-053X	waste manag
0956-540X	geophys j int
0956-5507	cytopathology
0956-5515	j intell manuf
0956-5663	biosens bioelectron
0956-666X	lipid technol
0956-7135	food control
0956-7143	compos manuf
0956-7151	acta metall mater
0956-716X	scr metall mater
0956-9618	sep technol
0957-1272	atmos environ b urban atmos
0957-4158	mechatronics
0957-4166	tetrahedron asymmetry
0957-4174	expert syst appl
0957-4522	j mater sci mater electron
0957-4530	j mater sci mater med
0957-5243	ccc cancer causes control
0957-5820	process saf environ prot
0957-5847	curr obstet gynaecol
0957-7734	equine vet educ
0958-0344	phytochem anal
0958-1669	curr opin biotechnol
0958-2592	foot
0958-3947	med dosim
0958-6946	int dairy j
0958-7578	transfus med
0958-9465	cem concr compos
0959-1524	j process control
0959-289X	int j obstet anesth
0959-3780	glob environ change
0959-3993	world j microbiol biotechnol
0959-437X	curr opin genet dev
0959-4388	curr opin neurobiol
0959-440X	curr opin struct biol
0959-4493	vet dermatol
0959-6526	j clean prod
0959-6658	glycobiology
0959-8049	eur j cancer
0959-8103	polym int
0959-8138	bmj
0959-9436	mendeleev commun
0959-9673	int j exp pathol
0959-9851	clinic auton res
0960-0760	j steroid biochem mol biol
0960-0779	chaos solitons fractals
0960-0833	softw test verif reliab
0960-1481	renew energy
0960-1686	atmos environ a gen top
0960-3085	food bioprod process
0960-3115	biodivers conserv
0960-3174	stat comput
0960-3182	geotech geol eng
0960-5428	adv neuroimmunol
0960-7404	surg oncol
0960-7420	eur j immunogenet
0960-7447	glob ecol biogeogr lett
0960-7722	cell prolif
0960-8524	bioresour technol
0960-8923	obes surg
0960-894X	bioorg med chem lett
0960-8966	neuromuscul disord
0960-8974	prog cryst growth charact mater
0960-9776	breast
0960-9822	curr biol
0961-1444	nonrenew resour
0961-3552	adv eng softw workstn
0961-9526	compos eng
0961-9534	biomass bioenergy
0962-1067	j clin nurs
0962-1083	mol ecol
0962-1091	gynaecol endosc
0962-6298	polit geogr
0962-7480	occup med
0962-8479	tuber lung dis
0962-8819	transgenic res
0962-8924	trends cell biol
0962-9343	qual life res
0963-1798	j occup organ psychol
0963-6897	cell transplant
0963-8172	qual health care
0963-8687	j strateg inf syst
0963-8695	ndt e int
0963-9462	early mediev eur
0963-9969	food res int
0964-0282	soc anthropol
0964-1807	appl supercond
0964-1955	eur j cancer part b oral oncol
0964-1998	j r stat soc ser a stat soc
0964-2633	jidr j intellect disabil res
0964-3397	intensive crit care nurs
0964-4563	tob control
0964-5691	ocean coast manag
0964-6906	hum mol genet
0964-7775	mus manag curator
0964-8305	int biodeterior biodegrad
0965-1748	insect biochem mol biol
0965-2140	addiction
0965-8564	transp res part a policy pract
0965-9773	nanostruct mater
0965-9978	adv eng softw
0966-0844	biometals
0966-6362	gait posture
0966-7822	polym gels netw
0966-842X	trends microbiol
0966-9795	intermet
0967-0637	deep sea res part 1 oceanogr res pap
0967-0645	deep sea res part 2 top stud oceanogr
0967-0661	control eng pract
0967-2109	cardiovasc surg
0967-3849	chromosom res
0967-5868	j clin neurosci
0968-0004	trends biochem sci
0968-0802	sustain dev
0968-0896	bioorg med chem
0968-090X	transp res part c emerg technol
0968-4328	micron
0969-0239	cellulose
0969-2126	structure
0969-4765	biom technol today
0969-8043	appl radiat isot
0969-8051	nucl med biol
0969-806X	radiat phys chem
0969-8078	nucl tracks radiat meas
0969-9961	neurobiol dis
0969-997X	fish manag ecol
0970-1915	indian j clin biochem
0973-0826	energy sustain dev
0981-9428	plant physiol biochem
0985-0562	nutr clin métab
0985-3111	geodin acta
0987-7053	neurophysiol clin
0987-7983	j pédiatr puéric
0990-7440	aquat living resour
0992-4361	eur j solid state inorg chem
0997-7538	eur j mech a solids
0997-7546	eur j mech b fluids
1000-9426	chin j geochem
1000-9515	acta geol sin
1000-9604	chin j canc res
1001-604X	chin j chem
1010-5182	j cranio maxillo fac surg
1010-6030	j photochem photobiol a chem
1010-7940	eur j cardio thorac surg
1011-1344	j photochem photobiol b biol
1011-372X	catal lett
1015-1621	aquat sci
1015-6305	brain pathol
1017-1398	numer algorithms
1018-4864	telecommun syst
1018-8827	eur child adolesc psychiatry
1020-2226	mus int
1022-0038	wirel netw
1022-1336	macromolecul rapid commun
1022-1344	macromolecul theory simul
1022-1352	macromol chem phys
1022-1360	macromol symp
1022-5528	top catal
1023-3830	inflamm res
1034-4810	j paediatr child health
1035-7319	aust j public health
1035-8811	aust j anthropol
1038-4111	asia pac j hum resour
1040-0397	electroanalysis
1040-0400	struct chem
1040-3108	concurency
1040-452X	mol reprod dev
1040-550X	j softw maint
1040-6182	quat int
1040-726X	educ psychol rev
1040-7294	j dyn differ equ
1040-7685	j microcolumn sep
1040-8428	crit rev oncol hematol
1041-2972	j am acad nurse pract
1041-3545	j med humanit
1041-6080	learn individ differ
1042-0533	am j human biol
1042-0967	elec commun jpn part 3 fundam elec sci
1042-1629	educ technol res dev
1042-7147	polym adv technol
1042-7163	heteroatom chem
1043-2760	trends endocrinol metab
1043-3074	head neck
1043-4666	cytokine
1043-4682	sem cell biol
1043-6618	pharmacol res
1043-7347	concepts magn reson
1044-0305	j am soc mass spectrom
1044-5323	semin immunol
1044-5765	semin neurosci
1044-5773	semin virol
1044-5781	semin dev biol
1044-579X	semin cancer biol
1044-5803	mater charact
1044-7431	mol cell neurosci
1045-1056	biologicals
1045-1870	semin pediatr infect dis
1045-2257	genes chromosomes cancer
1045-3873	j cardiovasc electrophysiol
1045-4861	j appl biomater
1045-6740	permafr periglac process
1046-199X	am j contact dermat
1046-2023	methods
1046-5928	protein expr purif
1046-7408	am j reprod immunol
1047-2797	ann epidemiol
1047-3203	j vis commun image represent
1047-3211	cereb cortex
1047-8310	j high technol managem res
1047-8477	j struct biol
1047-9627	int j digit analog commun syst
1049-3867	women s health issues
1049-8923	int j robust nonlinear control
1049-9644	biol control
1049-9652	cvgip graph models image process
1049-9660	cvgip image underst
1050-1738	trends cardiovasc med
1050-1827	int j microw millim wave comput aided eng
1050-3293	commun theory
1050-3862	genet anal tech appl
1050-9631	hippocampus
1051-0443	j vasc interv radiol
1051-2004	digit signal process
1051-2276	j renal nutr
1051-2284	j neuroimaging
1052-7613	aquat conserv
1052-9276	rev med virol
1052-9284	j community appl soc psychol
1052-9306	biol mass spectrom
1053-0495	j inorg organomet polym
1053-0509	j fluoresc
1053-0770	j cardiothoracic vasc anesth
1053-1807	j magn reson imaging
1053-1890	child youth care forum
1053-2498	j heart lung transplant
1053-4296	semin radiat oncol
1053-4725	environ toxicol water qual
1053-699x	j jew thought philos
1053-699X	j jew thought philos
1053-8100	conscious cogn
1053-8119	neuroimage
1053-8569	pharmacoepidemiol drug saf
1053-8801	publ res q
1053-881X	integr physiol behav sci
1054-139X	j adolesc health
1054-3139	ices j mar sci
1054-5476	in vitro cell dev biol plant
1054-8807	cardiovasc pathol
1055-0496	am j addict
1055-1360	j ling anthropol
1055-3290	j assoc nurses aids care
1055-7148	int j netw manage
1055-7903	mol phylogenet evol
1055-8330	neurodegeneration
1056-8190	pap reg sci
1056-8719	j pharmacol toxicol methods
1056-8727	j diabetes complic
1056-9014	nat toxins
1057-2317	int inf libr rev
1057-2414	int j naut archaeol
1057-9230	health econ
1057-9257	adv mater opt electron
1058-0247	compet intell rev
1058-0468	j assist reprod genet
1058-0476	j fam econ issues
1058-2746	j shoulder elb surg
1058-4838	clin infect dis
1059-1311	seizure
1059-7700	j genet couns
1059-7794	human mutat
1059-910X	microsc res tech
1059-9495	j mater eng perform
1059-9630	j therm spray technol
1060-0396	cybern syst anal
1061-1711	int j angiol
1061-2971	restor ecol
1061-7361	j soc evol syst
1062-0125	j eng phys thermophys
1062-6417	depression
1062-7391	j min sci
1062-7995	prog photovolt
1062-8002	struct des tall build
1063-4258	at energy
1063-4584	osteoarthr cartil
1063-5157	syst biol
1063-5203	appl comput harmon anal
1063-5211	bull russ acad sci div chem sci
1063-7095	int appl mech
1064-1858	j magn reson ser a
1064-1866	j magn reson ser b
1064-7481	am j geriatr psychiatry
1064-7546	j environ polym degrad
1064-7570	j netw syst manag
1064-8887	russ phys j
1065-4704	cancer pract
1065-6995	cell biol intern
1065-7355	adv cem based mater
1065-9471	hum brain mapp
1066-5234	j eukaryot microbiol
1066-5285	russ chem bull
1066-8527	process saf prog
1066-8888	vldb j
1067-1927	wound repair regen
1067-2516	j foot ankle surg
1068-1302	powder metall met ceram
1068-5200	opt fiber technol
1068-607X	prim care update ob gyns
1068-820X	mat sci
1068-9265	ann surg oncol
1068-9605	int j wirel inf netw
1069-0115	inf sci appl
1069-417X	antimicrob infect dis newsl
1069-4404	sociol relig
1069-8299	commun numer methods eng
1070-9797	anxiety
1071-0922	j soc inf disp
1071-2690	in vitro cell dev biol anim
1071-3581	j nucl cardiol
1071-5819	int j hum comput stud
1071-9164	j card fail
1072-7515	j am coll surg
1072-8368	nat struct biol
1073-1105	j law med ethics
1073-5615	metall mater trans b proc metall mater proc sci
1073-5623	metall mater trans a phys metall mater sci
1073-6085	mol biotechnol
1073-7928	int math res not
1073-9688	microcirc
1074-1542	j chem crystallogr
1074-3804	j am assoc gynecol laparosc
1074-4797	j healthc risk manag
1074-5351	int j commun syst
1074-5521	chem biol
1074-7427	neurobiol learn mem
1074-7613	immunity
1075-122X	breast j
1075-2617	j pept sci
1075-4261	biospectroscopy
1075-9964	anaerobe
1076-0512	dermatol surg
1076-5174	j mass spectrom
1076-6332	acad radiol
1077-2014	real time imaging
1077-3142	comput vis image underst
1077-3150	biochem mol med
1077-3169	graph models image proc
1077-8306	invertebr biol
1078-1439	urol oncol
1078-5884	eur j vasc endovasc surg
1079-2104	oral surg oral med oral pathol oral radiol endo
1079-2724	j dyn control syst
1079-5006	j gerontol ser a biol sci med sci
1079-5014	j gerontol ser b psychol sci soc sci
1079-9265	relig arts
1079-9796	blood cells mol diseases
1080-0549	clin rev allergy immunol
1080-4013	ment retard dev disabil res rev
1081-1206	ann allergy asthma immunol
1081-650X	proc assoc am physicians
1082-5010	mech cohes frict mater
1082-720X	ann noninvasive electrocardiol
1083-3021	j mammary gland biol neoplasia
1083-4362	transform groups
1083-4389	helicobacter
1083-4877	refract ind ceram
1083-5601	j vinyl addit technol
1083-6101	j comput mediat commun
1084-0184	plasmas polym
1084-2756	semin neonatol
1084-8045	j netw comput appl
1084-8592	mol diagn
1084-9521	semin cell dev biol
1085-6633	ethics environ
1085-9195	cell biochem biophys
1086-3273	mod jud
1086-900X	field anal chem technol
1086-9379	meteoritics planet sci
1087-1845	fungal genet biol
1088-1980	j ind ecol
1089-3156	comput theor polymer sci
1089-3261	clin liver dis
1089-7089	bell labs tech j
1089-8603	nitric oxide
1090-0233	vet j
1090-3801	eur j pain
1090-5138	evol hum behav
1091-255X	j gastrointest surg
1091-4269	depress anxiety
1092-7026	syst res behav sci
1093-3263	j mol graph model
1093-474X	j am water resourc assoc
1093-9687	comput aided civil infrastruct eng
1094-2025	rev econ dyn
1095-6433	comp biochem physiol part a mol integr physiol
1096-2867	clin tech small anim pract
1096-4959	comp biochem physiol part b biochem mol biol
1096-6080	toxicol sci
1096-6374	growth horm igf res
1096-7192	mol genet metab
1096-7516	internet high educ
1097-2765	mol cell
1098-1241	syst eng
1098-3015	value health
1098-7339	reg anesth pain med
1098-8823	prostaglandins other lipid mediat
1099-209X	am j potato res
1099-2871	heat transf asian res
1099-498X	j gene med
1100-9233	j veg sci
1101-1262	eur j public health
1102-4151	eur j surg
1124-318X	eur trans telecommun
1133-0686	test
1140-4639	rev fr transfus hémobiologie
1146-609X	acta oecol
1153-2424	ann chir main membr supér
1155-5645	paediatr anaesth
1161-0301	eur j agron
1164-0235	exergy
1164-5563	eur j soil biol
1164-6756	réanim urgences
1169-8330	rev rhum
1180-4009	environmetrics
1187-7863	j agric environ ethics
1201-9712	int j infect dis
1211-3026	cas slez zemského muz sér a vedy prír
1219-4956	pathol oncol res
1230-0322	pol j food nutr sci
1230-2384	arch control sci
1230-2945	arch civ eng
1231-0948	j fruit ornam plant res
1233-1821	found sci
1240-1307	nat sci soc
1246-7391	méd droit
1246-7820	transfus clin biol
1251-8050	c r acad sci sér 2 sci terre planet
1251-8069	c r acad sci sér ii méc phys chim astron
1268-7731	foot ankle surg
1270-9638	aerosp sci technol
1278-3218	cancer radiothér
1279-8479	méd catastr urgences collect
1286-4579	microbes infect
1287-4620	c r acad sci sér iib méc phys astron
1288-3255	plasmas ions
1290-0729	int j therm sci
1290-0796	cryptogam bryol
1293-2558	solid state sci
1296-2139	méc ind
1296-2147	c r acad sci sér iv phys astrophys
1297-319X	jt bone spine
1297-3203	chir main
1297-9562	itbm rbm
1297-9570	itbm rbm news
1297-9589	gynécol obstét fertil
1320-5358	nephrology
1320-5455	j qual clin pract
1320-5463	pathol int
1322-7114	int j nurs pract
1326-0200	aust n z j public health
1328-8067	pediatr int
1330-0075	acta pharm
1338-3973	slovak j civ eng
1338-7278	sel sci pap
1341-321X	j infect chemother
1341-8076	j obstet gynaecol res
1344-3941	anim sci j
1350-0775	mus int
1350-4177	ultrason sonochem
1350-4487	radiat meas
1350-4495	infrared phys technol
1350-4533	med eng phys
1350-6307	eng fail anal
1350-9462	prog retin eye res
1351-0622	j accid emerg med
1351-0711	occup environ med
1351-0754	eur j soil sci
1351-5101	eur j neurol
1351-8216	haemophilia
1352-0237	j gov inf
1352-0504	j viral hepatitis
1352-2310	atmos environ
1352-8661	magma
1353-4505	int j qual health care
1353-8047	inj prev
1353-8292	health place
1354-1013	glob chang biol
1354-523X	oral dis
1355-0306	sci justice
1355-2910	jcp clin mol pathol
1355-3259	legal criminol psychol
1355-4786	hum reprod updat
1355-557X	aqua res
1355-6037	heart
1355-6215	addict biol
1357-0560	med oncol
1357-2725	int j biochem cell biol
1357-4310	mol med today
1359-0189	int j radiat appl instrum part d nucl tracks radiat meas
1359-0197	int j radiat applic instrum part c radiat phys chem
1359-0286	curr opin solid state mater sci
1359-0294	curr opin colloid interface sci
1359-0987	j r anthropol inst
1359-107X	br j health psychol
1359-1789	aggress violent behav
1359-2998	arch dis child fetal neonatal ed
1359-4311	appl therm eng
1359-4338	virtual reality
1359-5113	process biochem
1359-5997	mat struct
1359-6101	cytokine growth factor rev
1359-6446	drug discov today
1359-6454	acta mater
1359-6462	scr mater
1359-835X	compos part a appl sci manuf
1359-8368	compos part b eng
1360-1385	trends plant sci
1360-6441	j socioling
1360-7456	asia pac viewp
1360-8185	apoptosis
1360-9947	mol hum reprod
1361-9209	transp res part d transp environ
1363-3554	hist workshop
1364-0321	renew sustain energy rev
1364-6613	trends cogn sci
1364-6826	j atmos solar terr phys
1364-727X	int j dairy technol
1364-8152	environ model softw
1365-1609	int j rock mech min sci
1365-6937	filtrat ind analyst
1366-7017	water policy
1366-8714	mp mol pathol
1366-8781	astron geophys
1366-9516	divers distrib
1367-0484	contact lens anterior eye
1367-4803	bioinformatics
1367-5931	curr opin chem biol
1368-2822	int j lang commun disord
1368-4973	sex transm infect
1368-5031	int j clin pract
1368-6267	art book
1368-7646	drug resist updat
1368-8375	oral oncol
1369-0191	fibrinolysis proteolysis
1369-5266	curr opin plant biol
1369-5274	curr opin microbiol
1369-7021	mater today
1369-703X	biochem eng j
1369-7412	j r stat soc ser b stat methodol
1369-8001	mater sci semicond process
1369-8869	aircr des
1370-4621	neural process lett
1370-4788	ann publ cooper econ
1380-3743	mol breed
1380-7501	multimed tools appl
1381-1169	j mol catal a chem
1381-1177	j mol catal b enzym
1381-141X	lab autom inf manag
1381-1991	mol divers
1381-5148	react funct polym
1382-4147	heart fail rev
1382-4996	adv health sci educ
1382-6689	environ toxicol pharmacol
1383-469X	j spec top mob netw appl
1383-5718	mut res genet toxicol environ mutagen
1383-5726	mutat res mutat res genomics
1383-5742	mutat res rev mutat res
1383-5769	parasitol int
1383-5866	sep purif technol
1383-7133	constraints
1383-7621	j systems archit
1385-1101	j sea res
1385-1314	nutr cycl agroecosyst
1385-299X	brain res protoc
1385-3139	reliab comput
1385-8947	chem eng j
1386-1425	spectrochim acta part a mol biomol spectrosc
1386-2618	opportunis pathog
1386-5056	int j med inform
1386-6346	hepatol res
1386-6532	j clin virol
1386-9477	physica e low dimens syst nanostrut
1387-1609	c r acad sci sér iic chim
1387-1811	microporous mesoporous mater
1387-3806	int j mass spectrom
1387-6805	nan nü
1387-7003	inorg chem commun
1388-1981	biochim biophys acta mol cell biol lipids
1388-2457	clin neurophysiol
1388-2481	electrochem commun
1388-5545	nematology
1388-9842	eur j heart fail
1389-0344	biomol eng
1389-0417	cogn syst res
1389-1286	comput netw
1389-1723	j biosci bioeng
1396-0296	dermatol ther
1397-002X	j pept res
1397-3142	pediatr transplant
1398-2273	transpl infect dis
1398-5647	bipolar disord
1399-0047	acta crystallogr d
1399-560X	insects syst evol
1402-2001	appl veg sci
1420-2018	fait mission
1424-3903	pancreatology
1430-144X	eur trans electr power
1431-6730	biol chem
1431-7613	theory biosci
1432-2994	math methods oper res
1433-7851	angew chem
1434-193X	eur j org chem
1434-1948	eur j inorg chem
1434-2944	int rev hydrobiol
1434-6001	eur phys j a hadrons nucl
1434-6621	clin chem lab med
1434-8411	aeu int j electron commun
1435-2443	langenbeck s arch surg
1435-8603	plant biol
1436-5693	anz schadl kd
1436-8730	j plant nutr soil sci
1436-9966	j prakt chem
1437-4781	for pathol
1438-1656	adv eng mater
1438-4221	int j med microbiol
1438-4639	int j hyg environ health
1438-7492	macromol mater eng
1438-7697	eur j lipid sci technol
1439-1791	basic appl ecol
1439-4227	chembiochem
1439-4235	chemphyschem
1439-9598	nachr chem
1442-9985	austral ecol
1444-0903	intern med j
1445-1433	anz j surg
1460-2245	health promot int
1460-2393	qjm
1460-2415	j petrol
1460-2423	glycobiology
1460-2431	j exp bot
1460-2725	qjm
1460-8081	pharm pharmacol commun
1461-023X	ecol lett
1461-5347	pharm sci technol today
1462-0324	rheumatol
1462-0758	urban water
1462-2912	environ microbiol
1462-8902	diabetes obes metab
1462-8910	colorectal dis
1462-9011	environ sci policy
1463-0184	cryst eng
1463-5003	ocean model
1464-343X	j afr earth sci
1464-3502	alcohol alcohol
1464-3529	br j criminol
1464-3650	ind corp change
1464-3774	j plankton res
1464-3790	med law rev
1464-4177	struct concr
1464-6722	mol plant pathol
1464-7931	biol rev
1464-9055	libr collect acquis tech serv
1465-7333	j heredity
1465-735X	j pediatr psychol
1465-7392	nat cell biol
1465-9972	chemosphere glob chang sci
1466-6049	int j of inorg mater
1466-822X	glob ecol biogeogr
1467-7644	plant biotechnol j
1467-7881	obes rev
1467-8039	arthropod struct develop
1468-1218	nonlinear anal real world appl
1468-215X	med humanit
1469-221X	embo rep
1469-7750	j lond math soc
1470-2045	lancet oncol
1471-003X	nat rev neurosci
1471-0153	eat behav
1471-4892	curr opin pharmacol
1471-4906	trends immunol
1471-4914	trends mol med
1471-4922	trends parasitol
1471-6771	br j anaesth
1471-6801	year s work engl stud
1471-681X	year s work crit cult theory
1471-9053	plant cell physiol
1472-0205	emerg med j
1472-3581	color technol
1472-6483	reprod biomed online
1472-9725	clin exp allergy rev
1473-0502	transfus apher sci
1473-2130	j cosmet derm
1473-3099	lancet infect dis
1474-1733	nat rev immunol
1474-175X	nat rev cancer
1474-1776	nat rev drug discov
1474-7758	pract neurol
1474-8665	auton autocoid pharmacol
1475-0961	clin physiol funct imaging
1475-3162	annu occup hyg
1475-357X	child adolesc ment health
1475-3898	qual sat health care
1476-0835	psychol psychother
1476-1122	nat mater
1477-089X	ger hist
1477-4542	fr hist
1477-4569	hist workshop j
1477-4577	int j lexicogr
1478-3223	liver int
1520-4081	environ toxicol
1520-541X	evol dev
1520-7552	diabetes metab res rev
1520-765X	eur heart j suppl
1520-8583	philos perspect
1521-6616	clin immunol
1521-6896	bailliere s best pract res clin anaesthesiol
1521-690X	baillière s best pract res clin endocrinol metab
1521-6918	baillière s best pract res clin gastroenterol
1521-6926	baillière s best pract res clin haematol
1521-6934	baillière s best pract res clin obstet gynaecol
1521-6942	baillière s best pract res clin rheumatol
1522-1946	catheter cardiovasc interv
1522-4724	molec cell biol res commun
1522-7227	infant child dev
1522-7235	luminescence
1522-9645	eur heart j
1524-0703	graph models
1524-1904	appl stoch models bus ind
1525-1578	j mol diagnostics
1525-2027	geochem geophys geosyst
1525-7304	clin lung cancer
1526-2375	pain med
1526-498X	pest manag sci
1526-6125	j manuf process
1526-8209	clin breast cancer
1526-954X	genesis
1526-9655	clin lymphoma
1527-6465	liver transplant
1529-2908	nat immunol
1529-7489	anal soc issues public policy
1530-261X	atmos sci lett
1530-8669	wirel commun mob comput
1531-6912	compar funct genom
1532-0456	comp biochem physiol c toxicol pharmacol
1532-0464	j biomed inform
1532-2882	j am soc inf sci technol
1532-3005	stress health
1532-3382	j evid based dent pract
1533-0028	clin colorectal cancer
1533-3167	ejves extra
1533-6077	philos issues
1534-5807	dev cell
1535-1459	river res appl
1538-6473	criminol public policy
1539-0136	j spec pediatr nurs
1539-6827	conserv pract
1540-7063	integr comp biol
1542-0752	birth defects res clin mol teratol
1542-0973	int j satell commun netw
1542-7390	space weather int j res appl
1542-9733	birth defects res part b dev reprod toxicol
1542-975X	birth defects res part c embryo today
1545-5009	ped blood cancer
1545-9993	nat struct mol biol
1546-542X	int j appl ceram technol
1548-8969	j exp zoolog part a comp exp biol
1549-3296	j biomed mater res part a
1551-3777	integr environ assess manag
1552-4825	am j med genet part a
1552-4841	am j med genet part b neuropsychiatr genet
1552-4868	am j med genet part c semin med genet
1552-4973	j biomed mater res part b appl biomater
1552-5007	j exp zoolog part b mol dev evol
1553-5592	j hosp med
1556-3499	j chiropr humanit
1557-6272	evid base child health
1566-0702	auton neurosci basic clin
1566-1199	org electron
1566-5844	j greek linguist
1567-133X	gene expr patterns
1567-1356	fems yeast res
1567-5688	atherosclerosis suppl
1567-5769	int immunopharmacol
1567-8326	j log algebr program
1569-8041	ann oncol
1571-0653	electron notes discret math
1571-0661	electron notes theor comput sci
1572-6657	j electroanal chem
1573-5214	njas wageningen j life sci
1590-8658	dig liver dis
1600-5767	j appl crystallogr
1600-5775	j synchrotron radiat
1601-5029	int j dent hyg
1610-0379	j dtsch dermatol ges
1610-1634	phys stat sol c
1611-020X	qsar comb sci
1611-3683	steel res int
1612-1872	chem biodivers
1612-2011	laser phys lett
1612-8850	plasma processes polym
1613-0804	praehist z
1613-396X	linguistics
1613-4125	mol nutr food res
1613-6810	small
1615-4150	adv synth catal
1615-6846	fuel cells
1615-9306	j sep sci
1615-9853	proteomics
1616-301X	adv funct mater
1616-5187	macromol biosci
1617-7061	proc appl math mech
1618-0240	eng life sci
1618-2642	anal bioanal chem
1620-7742	c r acad sci sér iib méc
1624-0693	réanim
1633-8065	eur j orthop surg traumatol
1639-4488	geostand geoanal res
1662-5986	eur j nanomed
1695-4033	an pediatr
1733-3911	j perspect econ polit soc integr
1738-494X	j mech sci technol
1740-9705	signif
1741-0126	protein eng design sel
1741-3842	j publ health
1741-7287	oxf art j
1741-8399	music q
1743-0585	arch dis child educ pract ed
1743-4971	clin teach
1743-6095	j sex med
1744-3091	acta crystallographica section f
1744-3121	int j immunogenet
1746-6334	aliment pharmacol ther symp
1747-0277	chem biol drug des
1747-6585	wej
1748-1708	acta physiol
1748-6645	j neuropsychol
1749-4478	clin otolaryngol
1749-4885	nat photonics
1751-2816	isbt sci ser
1751-4851	nurs women health
1751-7915	microb biotechnol
1752-2110	trusts trustees
1752-458X	insect conserv divers
1755-098X	mol ecol resour
1755-1471	pigment cell melanoma res
1755-263X	conserv lett
1755-6171	can rev sociol
1756-8757	top cogn sci
